463,Antislavery movements -- United States -- History -- 19th century
464,Slaves -- Maryland -- Social conditions -- 19th century
465,Plantation life -- Maryland -- History -- 19th century
466,Fugitive slaves -- Maryland -- Biography
467,Southern States -- Fiction
468,Uncle Tom (Fictitious character) -- Fiction
469,Master and servant -- Fiction
470,Plantation life -- Fiction
471,Slaves -- Fiction
472,Slavery -- Fiction
473,African Americans -- Fiction
474,"Brown, Father (Fictitious character) -- Fiction"
475,Catholics -- Fiction
476,Natural history -- Massachusetts -- Walden Woods
477,Wilderness areas -- Massachusetts -- Walden Woods
478,"Thoreau, Henry David, 1817-1862 -- Homes and haunts -- Massachusetts -- Walden Woods"
479,Solitude
480,Walden Woods (Mass.) -- Social life and customs
481,"Authors, American -- 19th century -- Biography"
482,African Americans -- Social conditions -- To 1964
483,"Martin Luther King, Jr., Day"
484,United States -- History
485,Civil rights movements
486,Yukon River Valley (Yukon and Alaska) -- Poetry
487,Children -- Fiction
488,Governesses -- Fiction
489,Americans -- England -- Fiction
490,London (England) -- Social life and customs -- Fiction
491,British -- United States -- Fiction
492,New York (State) -- Social life and customs -- Fiction
493,Manners and customs -- Fiction
494,Manuscripts -- Collectors and collecting -- Fiction
495,Poets -- Fiction
496,Factorials
497,Frontier and pioneer life -- Australia -- Poetry
498,Australian poetry
499,Animal welfare -- Fiction
500,Sled dogs -- Fiction
501,Feral dogs -- Fiction
502,Nature stories
503,Klondike River Valley (Yukon) -- Fiction
504,Dogs -- Fiction
505,Pet theft -- Fiction
506,Taoism -- Sacred books
507,"Philosophy, Chinese"
508,Working class families -- Fiction
509,Young men -- Fiction
510,"Gaul -- History -- Gallic Wars, 58-51 B.C."
511,Degeneration -- Fiction
512,Trading posts -- Fiction
513,Europeans -- Africa -- Fiction
514,Imperialism -- Fiction
515,Fugitives from justice -- Fiction
516,Private investigators -- England -- Fiction
517,Painters -- Fiction
518,Tahiti (French Polynesia : Island) -- Fiction
519,"Speeches, addresses, etc., Latin"
520,Rome -- History -- 53-44 B.C. -- Sources
521,Legends -- Rome -- Poetry
522,"Epic poetry, Latin"
523,Aeneas (Legendary character) -- Poetry
524,"Epic poetry, Latin -- Translations into English"
525,"Pastoral poetry, Latin"
526,Country life -- Rome -- Poetry
527,"Pastoral poetry, Latin -- Translations into English"
528,Agriculture -- Poetry
529,"Didactic poetry, Latin"
530,"Didactic poetry, Latin -- Translations into English"
531,"Gibson, William, 1914-2008"
532,"Adventure stories, English"
533,Mowgli (Fictitious character) -- Fiction
534,India -- Fiction
535,Animals -- Fiction
536,Feral children -- Fiction
537,"Elegiac poetry, Latin"
538,Latin poetry
539,Man-woman relationships -- Poetry
540,"Love poetry, Latin"
541,Rome -- Poetry
542,United States -- Maps
543,Fiction
544,Fables
545,African American women -- Fiction
546,"Jefferson, Thomas, 1743-1826 -- Relations with women -- Fiction"
547,African American families -- Fiction
548,Women slaves -- Fiction
549,Children of presidents -- Fiction
550,Farmers' spouses -- Fiction
551,Western stories
552,Czech Americans -- Fiction
553,"Tolstoy, Leo, graf, 1828-1910 -- Translations into English"
554,Russian fiction -- Translations into English
555,"Short stories, Russian -- Translations into English"
556,Mississippi River -- Description and travel
557,"Twain, Mark, 1835-1910 -- Travel -- Mississippi River"
558,Mississippi River Valley -- Social life and customs -- 19th century
559,Pilots and pilotage -- Mississippi River
560,Persian poetry -- Translations into English
561,English language -- Dictionaries
562,"Art, Prehistoric -- France -- Vallon-Pont-d'Arc"
563,Cave paintings -- France -- Vallon-Pont-d'Arc
564,Chauvet Cave (France)
565,Internet -- History
566,Computer networks -- United States -- History
567,United States. Congress
568,Copyright -- United States
569,"Copyright, International"
570,Electronic book readers
571,World maps
572,Cressida (Fictitious character) -- Poetry
573,Troy (Extinct city) -- Poetry
574,Troilus (Legendary character) -- Poetry
575,Trojan War -- Poetry
576,"Gordon, Adam Lindsay, 1833-1870"
577,Australia -- Poetry
578,Klondike River Valley (Yukon) -- Gold discoveries -- Poetry
579,Frontier and pioneer life -- Yukon -- Poetry
580,"Browning, Robert, 1812-1889 -- Criticism and interpretation"
581,"Browning, Robert, 1812-1889"
582,"Browning, Robert, 1812-1889 -- Bibliography"
583,"Brooke, Rupert, 1887-1915"
584,"Poets, English -- 20th century -- Biography"
585,"Poetry, Modern -- 20th century"
586,City and town life -- Poetry
587,Sagas -- Translations into English
588,"Kormákr Ögmundarson, approximately 935-970 -- Romances"
589,Courtly love -- Poetry
590,Christian ethics -- Poetry
591,"Christian poetry, English (Middle)"
592,"Love poetry, English (Middle)"
593,Women novelists -- Fiction
594,Love-letters -- Fiction
595,"Mussel Slough Tragedy, 1880 -- Fiction"
596,Railroad stories
597,Farmers -- Fiction
598,California -- Fiction
599,Wheat farmers -- Fiction
600,San Joaquin Valley (Calif.) -- Fiction
601,"Short stories, English"
602,Country life -- Fiction
603,Horses -- Juvenile fiction
604,Great Britain -- History -- 19th century -- Juvenile fiction
605,Bible -- Translating
606,Reformation -- Germany
607,Lutheran Church -- Creeds -- Early works to 1800
608,Lutheran Church -- Relations -- Catholic Church -- Early works to 1800
609,Catholic Church -- Relations -- Lutheran Church -- Early works to 1800
610,Lutheran Church -- Doctrines -- Early works to 1800
611,Reformation -- Germany -- Sources
612,Indulgences
613,"Theology, Doctrinal"
614,Lutheran Church -- Doctrines
615,Atomic bomb -- New Mexico -- Testing -- History
616,Manhattan Project (U.S.)
617,Atomic bomb -- New Mexico -- Los Alamos -- Testing -- History
618,Bell Rock Lighthouse (Scotland)
619,Stephenson family
620,"Stevenson, Robert, 1772-1850"
621,Lighthouses -- Scotland
622,Engineers -- Great Britain -- Biography
623,"Damien, Saint, Father, 1840-1889"
624,"Kinglake, Alexander William, 1809-1891 -- Travel -- Middle East"
625,Middle East -- Description and travel
626,France -- Fiction
627,Single women -- Fiction
628,Lost continents -- Fiction
629,Atlantis (Legendary place) -- Fiction
630,"Alamo (San Antonio, Tex.) -- Siege, 1836 -- Fiction"
631,"Texas -- History -- Revolution, 1835-1836 -- Fiction"
632,River life -- Fiction
633,United States -- Social life and customs -- 19th century -- Fiction
634,New York (N.Y.) -- History -- 19th century -- Fiction
635,Great Britain -- Social life and customs -- 19th century -- Fiction
636,"Short stories, American"
637,Orphans -- Juvenile fiction
638,Boys -- Juvenile fiction
639,Baseball -- Juvenile fiction
640,Adoptees -- Juvenile fiction
641,Forgery -- Fiction
642,Swindlers and swindling -- Fiction
643,Capitalists and financiers -- Fiction
644,Jews -- Fiction
645,Stock exchanges -- Fiction
646,Norwegian Americans -- Fiction
647,Imprisonment -- Poetry
648,Prisons -- Poetry
649,Prisoners -- Poetry
650,Fibonacci numbers
651,World Wide Web
652,Frontier and pioneer life -- Australia -- Fiction
653,"Short stories, Australian"
654,Australia -- Social life and customs -- Fiction
655,"Humorous stories, English"
656,Young men -- Travel -- England -- Thames River -- Fiction
657,Boats and boating -- England -- Thames River -- Fiction
658,Thames River (England) -- Fiction
659,Dreams -- Fiction
660,New York (N.Y.) -- Social life and customs -- 19th century -- Fiction
661,"Southwest, New -- Bibliography"
662,"World War, 1914-1918 -- Poetry"
663,Authorship -- Juvenile fiction
664,"Children's stories, Canadian"
665,Publishers and publishing -- Juvenile fiction
666,Prince Edward Island -- Juvenile fiction
667,New York (State) -- Poetry
668,Fairies -- Poetry
669,American poetry -- 19th century
670,Alcoholics -- United States -- Biography
671,"Authors, American -- 20th century -- Biography"
672,Drinking of alcoholic beverages -- United States
673,"London, Jack, 1876-1916"
674,American essays -- 19th century
675,"Picaresque literature, Spanish"
676,Spanish fiction
677,Spain -- Social conditions -- 16th century -- Fiction
678,Prisoners of war -- Fiction
679,French -- England -- Fiction
680,India -- Poetry
681,Kentucky -- Fiction
682,West (U.S.) -- Description and travel
683,"Shasta, Mount (Calif. : Mountain)"
684,Forests and forestry -- West (U.S.)
685,Islands of the Pacific -- Fiction
686,Health resorts -- Fiction
687,Impersonation -- Fiction
688,"Stevenson, Robert Louis, 1850-1894"
689,"Authors, Scottish -- 19th century -- Biography"
690,Voyages and travels -- Fiction
691,Heroes
692,Dakota Indians -- Biography
693,Indians of North America -- Biography
694,"Eastman, Charles Alexander, 1858-1939 -- Childhood and youth"
695,Santee Indians -- Social life and customs
696,Santee Indians -- Biography
697,Indian children -- North America
698,Dakota Indians -- Folklore
699,Dakota Indians -- Fiction
700,Indians of North America -- Fiction
701,Indians of North America -- Religion
702,Indian mythology -- North America
703,Indian philosophy -- North America
704,Mdewakanton Indians -- Folklore
705,"Barrie, Margaret Ogilvy"
706,"Fables, Scottish"
707,Great Britain -- History -- 19th century -- Fiction
708,Transylvania (Romania) -- Fiction
709,Whitby (England) -- Fiction
710,Vampires -- Fiction
711,"Dracula, Count (Fictitious character) -- Fiction"
712,Nebraska -- Social life and customs -- Fiction
713,Vikings -- Fiction
714,"Grettir Ásmundarson, 996-1031 -- Fiction"
715,"Hymns, Greek (Classical) -- Translations into English"
716,"Gods, Greek -- Poetry"
717,Hesiod -- Translations into English
718,"Epic poetry, Greek -- Translations into English"
719,"Epic poetry, Greek"
720,Herbalists -- Fiction
721,Jewish families -- Fiction
722,Jewish fiction
723,Jewish girls -- Fiction
724,Wisconsin -- Fiction
725,Artists -- Fiction
726,United States -- Social life and customs -- 20th century -- Fiction
727,Patriotic poetry
728,"McCrae, John, 1872-1918"
729,Women social reformers -- United States -- Biography
730,Women's rights -- United States
731,Women -- Suffrage -- United States
732,"Shaw, Anna Howard, 1847-1919"
733,Mesmerism -- Fiction
734,Suburbs -- Great Britain -- Fiction
735,"Matthias I, King of Hungary, 1443-1490 -- Fiction"
736,"Tyler's Insurrection, 1381 -- Fiction"
737,"Ball, John, -1381 -- Fiction"
738,Peasant uprisings -- Fiction
739,Automobiles -- Fiction
740,Automobile driving -- Fiction
741,Children's literature
742,Storytelling
743,Holidays
744,Property
745,Economics
746,Marriage -- Fiction
747,Mistaken identity -- Fiction
748,California -- Social life and customs
749,California -- Description and travel
750,Frontier and pioneer life -- California
751,Natural history -- California
752,"California -- History, Local"
753,Debutantes -- Fiction
754,Maine -- Fiction
755,Authorship -- Fiction
756,Seaside resorts -- Fiction
757,Summer resorts -- Fiction
758,Temple University
759,Success
760,"Conwell, Russell H., 1843-1925"
761,"Great Britain -- History -- Henry III, 1216-1272 -- Fiction"
762,Outlaws -- Fiction
763,Prostitutes -- Fiction
764,Children of prisoners -- Fiction
765,Virginia -- Fiction
766,Repentance -- Fiction
767,Picaresque literature
768,British -- Virginia -- Fiction
769,Women -- England -- Fiction
770,"Errors and blunders, Literary"
771,"Fables, American"
772,Wit and humor
773,Prisoners -- Fiction
774,"Great Fire, London, England, 1666 -- Fiction"
775,London (England) -- History -- 17th century -- Fiction
776,Plague -- Fiction
777,Kansas -- Biography
778,Women -- Kansas -- Intellectual life
779,"Women authors, American -- Homes and haunts -- Kansas"
780,Women and literature -- Kansas
781,Kansas -- In literature
782,Adventure and adventurers -- Fiction
783,Judges -- Fiction
784,Fathers and sons -- Fiction
785,Scotland -- Fiction
786,Scotland -- Social life and customs -- 19th century
787,Edinburgh (Scotland) -- Description and travel
788,Comedies
789,Refugees -- Fiction
790,Princes -- Fiction
791,"Baseball stories, American"
792,"Stevenson, Robert Louis, 1850-1894 -- Travel -- Samoan Islands"
793,"Authors, Scottish -- 19th century -- Correspondence"
794,"Stevenson, Robert Louis, 1850-1894 -- Correspondence"
795,"Colvin, Sidney, 1845-1927 -- Correspondence"
796,"Northwest, Old -- History -- Revolution, 1775-1783 -- Fiction"
797,Frontier and pioneer life -- Fiction
798,"Clark, George Rogers, 1752-1818 -- Fiction"
799,Louisiana -- Fiction
800,Chinese poetry -- Translations into English
801,Roland (Legendary character) -- Romances
802,"Epic poetry, French -- Translations into English"
803,"Crusades -- First, 1096-1099 -- Poetry"
804,"Godfrey, of Bouillon, approximately 1060-1100 -- Poetry"
805,"Epic poetry, Italian -- Translations into English"
